Posture,1cm,,,,1.5cm,,,,2cm,,,,2.5cm,,,,3cm,,,,3.5cm,,,,4cm,,,
34,0,0.0368,0.0207,0.0621,0,0.0506,0.0736,0.0483,0,0.0736,0.0759,0.0345,0,0.1312,0.1312,0.0483,0,0.1404,0.122,0.1749,0,0.6029,0.1841,0.0644,0,0.3129,0.0161,0.2071
35,0.5453,0.1266,0.8168,1.1574,0.405,0.1081,0.8422,0.8721,0.6213,0.0138,0.7662,0.6121,0.5338,0.1427,0.8468,0.6397,0.5867,0.1473,0.7961,1.0285,0.5338,0.0644,0.7593,0.5798,0.1956,0,0.3244,0.2347
36,0.9687,1.5831,3.3042,3.5113,0.7248,1.5486,2.7658,2.8969,0.7616,0.7915,2.3493,2.2987,0.6949,1.04,2.1261,2.1882,0.5798,1.093,2.0548,3.1316,0.5752,0.6305,1.5969,1.6981,0.168,0.0989,0.757,0.6765
37,0.7087,0.4901,0.3935,3.0281,0.4556,0.4878,0.405,2.1077,0.7156,0.2554,0.2232,1.9443,0.5453,0.4464,0.4556,2.1192,0.5246,0.5683,0.5913,3.1017,0.4855,0.3797,0.6282,1.9972,0.2393,0.0161,0.2324,1.0032
38,0,0,0.0391,0.9917,0,0,0.069,0.711,0,0,0.0805,0.6121,0.0069,0,0.092,0.5775,0.069,0.0046,0.2163,1.1206,0.0368,0,0.1404,0.6351,0.0115,0,0.0092,0.4901
39,1.1873,2.3953,2.6277,0.4556,1.017,2.4528,2.3125,0.405,1.0423,1.4197,2.1031,0.1565,0.9641,1.6383,1.8523,0.2347,0.7892,1.4703,0.1659,0.5476,0.8237,1.1229,1.4358,0.092,0.2577,0.5967,0.6627,0.0092
40,0.2255,2.018,1.2172,0.6604,0.122,2.1652,1.1827,0.5775,0.1795,1.4381,0.9227,0.3313,0.2002,1.7142,1.093,0.4027,0.1726,1.6636,1.0746,0.8997,0.3014,1.514,1.1068,0.3751,0.0092,0.8491,0.4671,0.1104
41,1.5831,1.6866,2.1054,3.4584,1.3461,1.774,1.8707,2.4873,1.3967,1.1896,1.5002,2.0318,1.1505,1.3507,1.6015,1.8293,0.925,1.4565,1.5578,2.8325,0.948,1.2954,1.2678,1.5163,0.3751,0.6581,0.4648,0.5867
42,0.3474,1.1482,0.6696,2.9729,0.1035,1.0861,0.6512,2.4367,0.2462,0.7294,0.4119,2.0525,0.1864,0.9572,0.6328,2.248,0.3428,1.0446,0.757,3.0649,0.2255,0.9342,0.5775,2.1146,0.0828,0.4556,0.0805,0.9572
43,0.1703,0,0,2.1353,0.1104,0,0,1.5785,0.1404,0,0,1.3323,0.1818,0,0,1.4611,0.1772,0,0.0345,2.416,0.1611,0.0184,0,1.5347,0.092,0,0,0.8214
44,1.0976,1.1689,1.6038,1.2701,0.9227,1.1551,1.468,0.9227,1.0009,0.688,1.4404,0.6558,0.9296,0.9135,1.4197,0.7225,0.9066,0.9135,1.3392,1.1643,0.8491,0.7593,1.185,0.6052,0.3037,0.3359,0.4694,0.2991
Rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
